SAMPLE_NO,STATION_NO,STN_NO_NM_LOC,Station Type,SAMPLE_DATETIME,SAMPLE_DATETIME,M_LATITUDE,LONGITUDE,M_LONGITUDE,Secchi Flag,secchi.m,Chloro Flag,chla.ug.L,TP Flag,TP.mg.L,Ammonia flag,Ammonia (NH3-N) mg/L,NO2NO3 flag,Nitrate+Nitrite (NO3+NO2 -N) mg/L,Nitrate flag,Nitrate (NO3 -N) mg/L,Nitrite flag,Nitrite (NO2 -N) mg/L,TKN flag,Total Kjeldahl Nitrogen (TKN)  mg/L,TN.mg.L,TP(mg/L),TN:TP,MC,1.0 m Water Temp DegC,Perimeter (km),Surface area (km2),Volume (million m3),Maximum depth (m),Mean depth (m),Drainage basin area (km2),mean annual inflow (million m3),< or > ,Water residence time (yrs),Watershed vs lake surface area ratio,Natural region,Sub-region,Physiographic Regions
09SWE08136               ,AB05FD0380,ARM LAKE - COMPOSITE (AB05FD0380),Lake,2009,14-Jun-09 10:00,52.747830,-110.588450,110.588450,,4.5,,2.2,,0.022,,0.04,,0.005,,,,,,1.03,1.035,,,0.13,19.64,2.79,0.13,,14,6.3,,,,,,Parkland,Central Parkland,Eastern Alberta Plains
09SWE08277               ,AB05FD0380,ARM LAKE - COMPOSITE (AB05FD0380),Lake,2009,11-Jul-09 09:05,52.747830,-110.588450,110.588450,,3.5,,4.12,,0.024,,0.022,,0.011,,,,,,1.05,1.061,,,0.08,18.12,2.79,0.13,,14,6.3,,,,,,Parkland,Central Parkland,Eastern Alberta Plains
09SWE08406               ,AB05FD0380,ARM LAKE - COMPOSITE (AB05FD0380),Lake,2009,26-Jul-09 08:45,52.747830,-110.588450,110.588450,,3,,2.89,,0.019,,0.012,L,0.005,,,,,,1.08,1.085,,,0.12,23.39,2.79,0.13,,14,6.3,,,,,,Parkland,Central Parkland,Eastern Alberta Plains
09SWE08548               ,AB05FD0380,ARM LAKE - COMPOSITE (AB05FD0380),Lake,2009,17-Aug-09 09:05,52.747830,-110.588450,110.588450,,3.25,,3.75,,0.022,,0.013,L,0.005,,,,,,1.01,1.015,,,0.13,17.11,2.79,0.13,,14,6.3,,,,,,Parkland,Central Parkland,Eastern Alberta Plains
08SWE01403               ,AB05EB5165,ASTOTIN LAKE - COMPOSITE (AB05EB5165),Lake,2008,26-Jun-08 11:15,53.677470,-112.841670,112.841670,,0.72,,,,0.067,,0.05,L,0.005,,,,0.002,,2.62,2.625,,,1.04,20,27.89,5.64,,6.1,2.73,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE01656               ,AB05EB5165,ASTOTIN LAKE - COMPOSITE (AB05EB5165),Lake,2008,22-Jul-08 11:00,53.677470,-112.841670,112.841670,,0.5,,50.6,,0.152,,0.046,L,0.005,,,L,0.001,,3.71,3.715,,,1.21,21.3,27.89,5.64,,6.1,2.73,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE02086               ,AB05EB5165,ASTOTIN LAKE - COMPOSITE (AB05EB5165),Lake,2008,14-Aug-08 12:45,53.677470,-112.841670,112.841670,,0.6,,42.8,,0.095,,0.032,L,0.005,,,,0.002,,3.19,3.195,,,1.98,19.95,27.89,5.64,,6.1,2.73,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE02447               ,AB05EB5165,ASTOTIN LAKE - COMPOSITE (AB05EB5165),Lake,2008,08-Sep-08 10:15,53.677470,-112.841670,112.841670,,0.5,,35.9,,0.095,,0.04,L,0.005,,,,0.001,,3.1,3.105,,,2.45,14.2,27.89,5.64,,6.1,2.73,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE02973               ,AB05EB5165,ASTOTIN LAKE - COMPOSITE (AB05EB5165),Lake,2008,02-Oct-08 11:00,52.966670,-114.183330,114.183330,,0.5,,35.3,,0.093,,0.039,,0.005,,,L,0.001,,3.3,3.305,,,0.09,12.64,27.89,5.64,,6.1,2.73,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
04SWE01109               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2004,28-Jun-04 13:00,54.783330,-113.550000,113.550000,,2.2,,30.9,,0.038,,0.018,L,0.005,,,L,0.001,,1.28,1.285,,,0.08,21.27,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE00927               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2005,19-May-05 12:00,54.783330,-113.550000,113.550000,,1.7,,14.3,,0.0705,,0.011,,0.006,,,,0.001,,1.07,1.076,,,0.07,12.31,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE01363               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2005,16-Jun-05 10:45,54.783330,-113.550000,113.550000,,3.9,,7,,0.076,,0.049,L,0.005,,,L,0.001,,1.02,1.025,,,0.07,17.24,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE01591               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2005,13-Jul-05 11:15,54.783330,-113.550000,113.550000,,1.75,,131.5,,0.0977,,0.017,L,0.005,,,,0.002,,2.26,2.265,,,0.25,20.77,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE02257               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2005,16-Aug-05 11:30,54.783330,-113.550000,113.550000,,2.95,,43.2,,0.1412,,0.056,,0.014,,,,0.003,,1.46,1.474,,,0.32,17.09,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE02812               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2005,31-Aug-05 12:00,54.783330,-113.550000,113.550000,,1.75,,41.3,,0.1203,,0.068,,0.027,,,,0.008,,1.54,1.567,,,0.55,16.65,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE03501               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2005,29-Sep-05 10:30,54.783330,-113.550000,113.550000,,1.4,,40.8,,0.0985,,0.083,,0.072,,,,0.007,,1.44,1.512,,,1.52,11.00,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
06SWE08422               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2006,25-Jul-06 14:00,54.783330,-113.550000,113.550000,,0.55,,56.3,,0.064,,,,0.007,,,,,,1.56,1.567,,,0.67,23.87,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
06SWE01729               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2006,09-Aug-06 14:30,54.783330,-113.550000,113.550000,,0.65,,94.1,,0.097,,,L,0.005,,,,,,2.02,2.025,,,1.72,21.04,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
06SWE01968               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2006,10-Sep-06 14:00,54.783330,-113.550000,113.550000,,1,,50.4,,0.097,,,,0.017,,,,,,1.71,1.727,,,1.36,18.21,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
06SWE09005               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2006,26-Sep-06 12:00,54.783330,-113.550000,113.550000,,2,,34.5,,0.141,,,,0.063,,,,,,1.72,1.783,,,1.54,12.47,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
07SWE01235               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2007,15-May-07 12:30,54.783330,-113.550000,113.550000,,0.8,,56.6,,0.09,,0.017,L,0.005,,,,0.002,,1.18,1.185,,,0.07,9.39,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
07SWE01895               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2007,25-Jun-07 12:00,54.783330,-113.550000,113.550000,,1.5,,19.9,,0.062,,0.021,,0.005,,,,0.001,,1.17,1.175,,,1.70,17.19,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
07SWE02317               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2007,18-Jul-07 11:30,54.783330,-113.550000,113.550000,,1.1,,40.6,,0.054,,0.026,L,0.005,,,L,0.001,,1.55,1.555,,,0.87,25.85,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
07SWE02480               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2007,08-Aug-07 15:00,54.783330,-113.550000,113.550000,,1.25,,50.8,,0.086,,0.05,,0.006,,,,0.001,,1.52,1.526,0.086,17.74418605,4.10,19.99,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
07SWE02934               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2007,30-Aug-07 13:30,54.783330,-113.550000,113.550000,,2.1,,36.4,,0.121,,0.094,,0.035,,,,0.003,,1.38,1.415,0.121,11.69421488,9.35,16.51,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
07SWE03217               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2007,27-Sep-07 11:00,54.783330,-113.550000,113.550000,,2,,24.5,,0.1,,0.076,,0.046,,,,0.003,,1.22,1.266,0.1,12.66,5.44,10.73,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
07SWE03643               ,AB07BE0830,BAPTISTE LAKE - NORTH BASIN COMPOSITE (AB07BE0830),Lake,2007,29-Oct-07 14:30,54.783330,-113.550000,113.550000,,2.5,,8.87,,0.036,,0.074,,0.015,,,,0.002,,1.06,1.075,,,0.41,6.03,,5.07,28.1,15.5,5.6,109.40,15.9,,6,21.58,Boreal,Central Mixedwood,Eastern Alberta Plains
04SWE01077               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2004,28-Jun-04 11:30,54.750000,-113.550000,113.550000,,2.3,,44.9,,0.044,,0.021,L,0.005,,,,0.004,,1.5,1.505,,,0.12,21.68,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE00952               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2005,19-May-05 14:15,54.750000,-113.550000,113.550000,,1.8,,23.2,,0.0886,,0.013,L,0.005,,,L,0.001,,1.3,1.305,,,0.07,12.36,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE01328               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2005,16-Jun-05 12:35,54.750000,-113.550000,113.550000,,4,,8.8,,0.0489,,0.043,L,0.005,,,,0.002,,1.07,1.075,,,0.07,17.98,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE01559               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2005,13-Jul-05 14:00,54.750000,-113.550000,113.550000,,1,,102.1,,0.0614,,0.015,L,0.005,,,,0.002,,2.03,2.035,,,0.17,21.02,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE02280               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2005,16-Aug-05 14:00,54.750000,-113.550000,113.550000,,0.7,,154,,0.1011,,0.018,L,0.005,,,L,0.001,,2.54,2.545,,,0.40,17,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE02780               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2005,31-Aug-05 14:00,54.750000,-113.550000,113.550000,,1.3,,64.2,,0.0881,,0.114,,0.027,,,,0.004,,1.85,1.877,,,0.60,16.99,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE03524               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2005,29-Sep-05 14:30,54.750000,-113.550000,113.550000,,2.8,,13.7,,0.0819,,0.21,,0.11,,,,0.009,,1.34,1.45,,,0.24,11.39,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
06SWE08399               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2006,25-Jul-06 12:00,54.750000,-113.550000,113.550000,,0.75,,45.6,,0.064,,,L,0.005,,,,,,1.42,1.425,,,0.69,22.98,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
06SWE01730               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2006,09-Aug-06 11:30,54.750000,-113.550000,113.550000,,0.65,,65.8,,0.069,,,L,0.005,,,,,,1.78,1.785,,,1.23,20.73,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
06SWE01941               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2006,10-Sep-06 11:30,54.750000,-113.550000,113.550000,,1,,35.3,,0.053,,,,0.01,,,,,,1.47,1.48,,,1.15,18.13,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
06SWE09021               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2006,26-Sep-06 10:30,54.750000,-113.550000,113.550000,,2,,21.7,,0.055,,,,0.055,,,,,,1.24,1.295,,,0.90,12.46,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
07SWE01259               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2007,15-May-07 15:30,54.750000,-113.550000,113.550000,,0.48,,114,,0.179,,0.025,L,0.005,,,,0.002,,1.87,1.875,,,0.07,10.59,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
07SWE01921               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2007,25-Jun-07 14:30,54.750000,-113.550000,113.550000,,1.7,,22.1,,0.038,,0.018,,0.006,,,L,0.001,,1.1,1.106,,,0.10,17.42,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
07SWE02341               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2007,18-Jul-07 14:15,54.750000,-113.550000,113.550000,,1.1,,33.7,,0.043,,0.072,,0.005,,,,0.002,,1.48,1.485,,,1.13,25.63,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
07SWE02503,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2007,08-Aug-07 11:45,54.750000,-113.550000,113.550000,,1.2,,44.4,,0.049,,0.024,,0.01,,,,0.003,,1.46,1.47,0.049,30,4.94,20.11,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
07SWE02894               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2007,30-Aug-07 11:30,54.750000,-113.550000,113.550000,,0.9,,74.8,,0.081,,0.016,L,0.005,,,,0.001,,1.62,1.625,0.081,20.0617284,13.08,17.29,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
07SWE03243               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2007,27-Sep-07 13:00,54.750000,-113.550000,113.550000,,2.25,,25.6,,0.064,,0.034,,0.014,,,,0.002,,1.12,1.134,0.064,17.71875,3.75,,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
07SWE03602               ,AB07BE0820,BAPTISTE LAKE - SOUTH BASIN COMPOSITE (AB07BE0820),Lake,2007,29-Oct-07 11:30,54.750000,-113.550000,113.550000,,2.4,,10.8,,0.097,,0.23,,0.031,,,,0.005,,1.19,1.221,,,0.12,6.75,,4.74,56.5,27.5,11.9,178.60,15.9,,6,37.68,Boreal,Central Mixedwood,Eastern Alberta Plains
06SWE08378               ,AB06AC1255,BEARTRAP LAKE COMPOSITE,Lake,2006,24-Jul-06 12:06,54.205000,-110.538060,110.538060,,3.25,,5.92,,0.037,,0.024,L,0.005,,,,,,1.8,1.805,,,0.16,23.77,4.95,1.45,,,,5.32,,,,3.67,Boreal,Dry Mixedwood,Eastern Alberta Plains
06SWE08673               ,AB06AC1255,BEARTRAP LAKE COMPOSITE,Lake,2006,18-Aug-06 13:45,54.205000,-110.538060,110.538060,,2.75,,4.61,,0.028,,0.019,L,0.005,,,,,,1.65,1.655,,,0.07,20.62,4.95,1.45,,,,5.32,,,,3.67,Boreal,Dry Mixedwood,Eastern Alberta Plains
06SWE08823               ,AB06AC1255,BEARTRAP LAKE COMPOSITE,Lake,2006,05-Sep-06 13:35,54.205000,-110.538060,110.538060,,2,,6.14,,0.035,,0.018,L,0.005,,,,,,1.75,1.755,,,0.30,19.25,4.95,1.45,,,,5.32,,,,3.67,Boreal,Dry Mixedwood,Eastern Alberta Plains
07SWE08728               ,AB06AC1255,BEARTRAP LAKE - COMPOSITE (AB06AC1255),Lake,2007,27-Jun-07 11:30,54.205000,-110.538060,110.538060,,2.75,,2.05,,0.036,,0.064,,0.008,,,,,,1.66,1.668,,,0.16,17.00,4.95,1.45,,,,5.32,,,,3.67,Boreal,Dry Mixedwood,Eastern Alberta Plains
07SWE09044               ,AB06AC1255,BEARTRAP LAKE - COMPOSITE (AB06AC1255),Lake,2007,17-Jul-07 11:00,54.205000,-110.538060,110.538060,,1.5,,4.18,,0.029,,0.022,L,0.005,,,,,,1.66,1.665,,,0.12,25.64,4.95,1.45,,,,5.32,,,,3.67,Boreal,Dry Mixedwood,Eastern Alberta Plains
07SWE09154               ,AB06AC1255,BEARTRAP LAKE - COMPOSITE (AB06AC1255),Lake,2007,08-Aug-07 16:30,54.205000,-110.538060,110.538060,,2.25,,7.91,,0.032,,0.016,,,,,,,,1.66,,,,1.23,21.36,4.95,1.45,,,,5.32,,,,3.67,Boreal,Dry Mixedwood,Eastern Alberta Plains
07SWE09443               ,AB06AC1255,BEARTRAP LAKE - COMPOSITE (AB06AC1255),Lake,2007,06-Sep-07 11:30,54.205000,-110.538060,110.538060,,3.5,,6.22,,0.026,,0.046,L,0.005,,,,,,1.62,1.625,,,0.24,16.46,4.95,1.45,,,,5.32,,,,3.67,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE08679               ,AB06AC1255,BEARTRAP LAKE - COMPOSITE (AB06AC1255),Lake,2008,11-Jun-08 09:25,54.205000,-110.538060,110.538060,,7.5,,2.17,,0.04,,0.131,,0.016,,,,,,1.74,1.756,,,0.37,18.19,4.95,1.45,,,,5.32,,,,3.67,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE09052               ,AB06AC1255,BEARTRAP LAKE - COMPOSITE (AB06AC1255),Lake,2008,17-Jul-08 09:00,54.205000,-110.538060,110.538060,,3.5,,8.22,,0.041,,0.03,,0.016,,,,,,1.78,1.796,,,0.24,20.7,4.95,1.45,,,,5.32,,,,3.67,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE11001               ,AB06AC1255,BEARTRAP LAKE - COMPOSITE (AB06AC1255),Lake,2008,05-Aug-08 08:30,54.205000,-110.538060,110.538060,,2.5,,5.81,,0.038,,0.017,,0.007,,,,,,1.72,1.727,,,0.17,19.28,4.95,1.45,,,,5.32,,,,3.67,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE11300               ,AB06AC1255,BEARTRAP LAKE - COMPOSITE (AB06AC1255),Lake,2008,25-Aug-08 10:40,54.205000,-110.538060,110.538060,,3.75,,3.89,,0.028,,0.028,,0.006,,,,,,1.71,1.716,,,0.14,19.4,4.95,1.45,,,,5.32,,,,3.67,Boreal,Dry Mixedwood,Eastern Alberta Plains
08SWE11539               ,AB06AC1255,BEARTRAP LAKE - COMPOSITE (AB06AC1255),Lake,2008,15-Sep-08 08:30,54.205000,-110.538060,110.538060,,3.5,,9.72,,0.032,,0.017,,0.158,,,,,,1.71,1.868,,,0.13,15.03,4.95,1.45,,,,5.32,,,,3.67,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE02190               ,AB05AA0490,BEAUVAIS LAKE - COMPOSITE (AB05AA0490),Lake,2005,14-Aug-05 15:00,49.413890,-114.108330,114.108330,,2.6,,6.4,,0.0166,,,,0.014,,,,,,0.51,0.524,,,0.08,,7.48,0.89,3.8,10.7,7.3,7.09,1.02,,4,7.97,Rocky Mountain,Montane,Rocky Mountain Foothills
06SWE10592               ,AB05AA0490,BEAUVAIS LAKE - COMPOSITE (AB05AA0490),Lake,2006,13-Aug-06 12:50,49.413890,-114.108330,114.108330,,2.5,,5.63,,0.02,,,,,,,,,,,,,,0.07,,7.48,0.89,3.8,10.7,7.3,7.09,1.02,,4,7.97,Rocky Mountain,Montane,Rocky Mountain Foothills
06SWE10734               ,AB05AA0490,BEAUVAIS LAKE - COMPOSITE (AB05AA0490),Lake,2006,27-Aug-06 13:30,49.413890,-114.108330,114.108330,,3.25,,3.41,,0.018,,,,,,,,,,,,,,0.07,,7.48,0.89,3.8,10.7,7.3,7.09,1.02,,4,7.97,Rocky Mountain,Montane,Rocky Mountain Foothills
